Entity,Industry,Turnover FY,PAT,Asset Total,Liability Total,Curr Assets,Curr Liabilities,Cash Runway (mo),YoY Growth %,Finance Cost
Anvil Trading Co,Construction,1490706,22718,1463602,43908,202332,40395,6.7,5.2,4680
Ironwood Foods,Retail,1154719,-122287,1378561,75628,367590,69578,1,-2.1,8014
Kestrel Logistics,Hospitality,175331,30326,155232,60663,16810,40476,2.5,10.9,6256
Anvil Foods,Agriculture,701025,58311,1214761,327749,269121,301529,0.9,5.1,21354
Ironwood Logistics,Healthcare,27946,2073,38370,8717,2043,8019,1.3,12.9,841
Anvil Holdings,Agriculture,461973,115524,593810,293230,125324,180890,5.3,-29.5,25720
Meridian Textiles,Agriculture,532678,-91563,340105,119020,191833,109499,3,15.6,9554
Anvil Foods,Construction,54265,776,38095,10067,16620,8545,1.7,8.4,963
Vantage Foods,Professional services,123567,32153,139147,55684,74543,50968,5.6,0.2,4570
Pemberton Foods,Professional services,304727,-19155,462421,238458,106079,112966,0.7,6,22136
Anvil Foods,Technology,34543,9462,34015,12536,13663,1930,4,-12.9,709
Ironwood Foods,Professional services,176791,-12106,177245,53793,58286,14394,1.7,15,3838
Cobalt Systems,Retail,77505,3417,140033,36603,7091,33252,0.3,32.2,3230
Northgate Logistics,Technology,205024,16919,249849,103473,58068,15383,0.5,-29.3,8709
Juniper Systems,Logistics,588344,-21783,922374,440080,364087,347535,10.2,-11.5,25403
Cobalt Holdings,Healthcare,15650,6272,24951,11558,7037,6873,6,1.8,1027
Northgate Systems,Professional services,2731614,101047,4450133,1801261,2306119,1501966,9,23.2,142939
Pemberton Logistics,Hospitality,186129,-17975,288353,103460,88175,49960,2.8,18.9,7242
Ironwood Trading Co,Construction,200258,44102,325322,379981,51714,82610,2.4,9.1,24331
Northgate Partners,Healthcare,292184,4868,346549,94178,119320,80504,3.1,27.3,8401
Vantage Works,Technology,471059,36985,602385,307422,226732,164992,2,38.7,25578
Meridian Engineering,Manufacturing,117372,23665,128156,62545,28072,14161,3.2,-15.3,3882
Cobalt Works,Healthcare,1585147,51646,3162035,94861,793158,87272,3.7,16.1,10408
Juniper Logistics,Healthcare,332903,22070,512632,15379,211400,14149,0.4,7.9,1450
Cobalt Trading Co,Professional services,3764592,-367012,3654072,1585877,498356,1330297,2.7,-8.2,130011
Sable Industries,Healthcare,254539,13347,304382,156392,69920,87596,2.5,29.2,13027
Ironwood Foods,Logistics,730967,107975,964567,541301,376344,312351,6,2.2,60678
Vantage Textiles,Logistics,82563,-4093,133456,58039,20739,33423,3.1,20.3,3985
Cobalt Industries,Retail,120999,6657,184512,5535,9226,5093,1.4,30.2,411
Vantage Trading Co,Logistics,279474,2375,325720,9772,163140,8990,8.6,-3,986
Tamarind Industries,Manufacturing,246376,52873,165545,56557,42277,38701,1.7,-10,4796
Meridian Works,Healthcare,167326,-13862,232555,6977,75270,6419,3,-10.5,579
Pemberton Trading Co,Healthcare,399223,47593,318900,114379,76883,54478,1.7,51.5,6531
Blue Heron Industries,Agriculture,25658,299,14286,3343,3772,3075,9.7,-10.2,192
Sable Engineering,Professional services,1069078,234191,1062883,366505,328531,322950,4.4,-8.9,22986
Tamarind Foods,Hospitality,457466,15104,805692,364914,118130,335721,1.2,27.2,38445
Cobalt Engineering,Healthcare,197114,-7889,311070,114552,87408,105388,0.9,12.3,12393
Sable Works,Retail,194228,59340,116514,24919,39604,22926,0.9,49.8,1646
Cobalt Foods,Manufacturing,2129745,-120223,2892148,934018,1233356,483877,2.4,-26,76618
Kestrel Works,Professional services,344511,70134,640988,19230,144022,17691,3.3,33.2,2205
Harrow Logistics,Hospitality,23615,-3641,32868,3179,10090,2925,2.3,-13.7,312
Pemberton Textiles,Construction,255433,5542,223846,117872,112204,41899,1.4,-14.8,7662
Ironwood Textiles,Construction,571470,-95583,321773,100829,117230,55940,2.5,6.6,9719
Cobalt Works,Professional services,222742,-11111,149951,43603,19802,33961,1.1,4.3,4809
Ironwood Holdings,Healthcare,76530,717,63071,26584,33933,24457,4,-2.5,3056
Northgate Textiles,Logistics,557866,2998,687722,232634,273375,104701,1.3,3.4,18007
Juniper Foods,Retail,113271,-5140,131747,46504,37543,3952,0.7,-1.4,3224
Blue Heron Textiles,Hospitality,340458,-1183,692689,200146,279841,20781,5,-8.8,20105
Juniper Holdings,Healthcare,83565,-966,160611,47638,22527,31786,1.9,-7,2963
Juniper Holdings,Healthcare,133914,-23212,129555,16503,13413,15183,2.4,15.4,1268
Ironwood Industries,Professional services,3654189,982665,5328967,2031770,1484237,776186,2.8,32.6,139560
Juniper Partners,Construction,260955,11273,224093,60625,81354,47698,10.1,7.6,6298
Kestrel Trading Co,Hospitality,196736,-30631,250241,137536,80247,25006,4.7,-28,8825
Blue Heron Industries,Hospitality,181705,12464,104373,30069,45069,5184,3.2,14.5,1892
Kestrel Works,Manufacturing,551879,126682,1000290,299789,404328,252817,0.8,32.1,20486
Cobalt Holdings,Construction,212356,-13634,183526,42292,66804,38909,4.5,19.7,3744
Ironwood Systems,Agriculture,214560,18587,358597,69893,140488,64301,3.2,-21.5,5526
Vantage Foods,Technology,802824,71885,1227822,709400,118898,276281,1.2,1.8,81037
Pemberton Foods,Professional services,60578,7796,43953,7418,2198,6824,6,-4.5,573
Meridian Systems,Construction,216387,40484,142653,11991,56718,11032,1.7,22.3,848
Ironwood Logistics,Hospitality,184637,35485,262027,16980,92190,15621,8.1,20.2,1375
Meridian Textiles,Retail,102164,24116,169529,85189,73678,16060,1,9.7,7445
Cobalt Industries,Professional services,24267,5086,26881,2337,6191,2150,1.2,-9.3,170
Cobalt Textiles,Technology,114882,20572,155991,47333,89489,31516,1,-1.3,3681
Juniper Partners,Construction,143926,5441,177905,18359,79540,16890,1.6,21,1739
Cobalt Foods,Construction,254713,-5711,154037,73994,83969,39105,2.8,-19.2,6890
Harrow Engineering,Healthcare,180085,17500,145063,48009,58312,44168,8,19,2672
Vantage Partners,Technology,59689,-12328,44199,5435,14598,5000,1.6,12.8,590
Meridian Works,Agriculture,1715857,-290371,957205,28716,202096,26419,1.9,6,2069
Blue Heron Holdings,Hospitality,434737,7077,750362,321847,321349,158462,1.3,24.7,22573
Harrow Engineering,Healthcare,16587,2981,14411,4071,8424,3745,4.6,20,346
Juniper Textiles,Logistics,209125,-15990,298643,8959,103209,8243,5.2,-44.5,594
Vantage Industries,Technology,268530,-16499,333808,221750,137405,108431,2.2,2.8,25206
Tamarind Textiles,Retail,120471,41212,142250,23800,24701,21896,2.6,56.7,2099
Solstice Holdings,Agriculture,47246,-6846,48288,1449,14590,1333,1.4,-7.9,162
Ironwood Industries,Retail,245946,15899,179472,40837,91971,37570,6.5,15.4,3599
Juniper Engineering,Construction,312888,-21779,221870,6656,63409,6124,2.4,5.4,487
Tamarind Textiles,Retail,8894,885,5674,170,964,157,4.8,8.4,16
Blue Heron Trading Co,Technology,1309467,11311,993102,688334,337351,347882,6.7,40.2,73980
Tamarind Logistics,Agriculture,166259,26492,289543,91071,116029,55488,4.6,8.6,8228
Vantage Works,Logistics,42009,3498,83289,36153,15152,26331,1.5,34.2,2031
Blue Heron Textiles,Agriculture,605352,48618,952434,220054,85472,151445,0.4,-9.3,19122
Ironwood Textiles,Agriculture,338418,71192,680755,348499,160230,145860,1.5,-23.3,38583
Tamarind Logistics,Healthcare,268724,17834,388703,77243,136720,71064,6.3,-1.4,8821
Vantage Partners,Logistics,810627,52967,773656,480810,78930,257406,2.3,1.8,37311
Solstice Industries,Construction,2882260,438498,4405559,164054,1059829,150930,17.3,-33.1,13691
Cobalt Logistics,Retail,189737,21175,311084,120196,40161,21973,1.7,32.3,12958
Northgate Trading Co,Construction,99169,21863,62535,13560,6598,12475,0.9,17.4,1439
Juniper Partners,Construction,105922,17191,70487,13915,16271,5114,4.1,-10.3,1305
Kestrel Engineering,Hospitality,775826,7247,825039,24751,186375,22771,0.8,73.8,2585
Sable Trading Co,Healthcare,1113908,92140,1397738,612137,554728,360279,2.2,15.4,43156
Juniper Holdings,Healthcare,14068,-1023,7780,326,1904,300,3.5,-14.8,37
Meridian Engineering,Logistics,188808,26279,286391,105440,46183,61057,9.1,10.8,7812
Juniper Logistics,Hospitality,24045,6221,32220,9899,5478,3618,3.6,19.1,1024
Sable Trading Co,Hospitality,609312,129874,988446,393337,182100,137437,6,-15.3,33739
Sable Industries,Professional services,112608,13669,126538,67203,29127,48110,10.6,23.4,5870
Meridian Works,Retail,248362,-19903,310530,88948,78207,81832,1.4,18.7,7120
Harrow Textiles,Construction,296420,56379,490782,87360,125120,80371,1.9,-3.4,4951
Anvil Works,Construction,637343,28973,1176184,224602,483826,206634,2.3,25.7,21297
Northgate Works,Retail,45808,5317,64292,17186,26289,13554,2.3,-8.7,1489
Northgate Industries,Agriculture,76945,9395,79009,48437,20285,25953,0.4,-12.7,2949
Kestrel Textiles,Logistics,1448459,179788,1252237,362785,374437,263830,9,10.4,41586
Vantage Partners,Agriculture,112380,7466,106066,26748,59073,24608,1.9,18.8,1854
Northgate Textiles,Professional services,77772,2398,57984,19282,8238,17740,1.9,45.4,1816
Harrow Textiles,Logistics,1188702,157973,2299074,987289,641519,621669,3.6,34.7,62001
Kestrel Industries,Construction,95225,944,103483,9522,29049,8760,4.5,-20.5,937
Pemberton Trading Co,Professional services,383834,-4758,752679,206789,38053,22580,8.5,4.1,17474
Blue Heron Partners,Professional services,549901,35896,992858,217575,227520,200169,5.6,15.8,19424
Solstice Logistics,Agriculture,110173,-1185,130880,83375,36632,50121,6.2,18.6,7355
Northgate Holdings,Logistics,1555830,146422,2110645,333671,1074099,306977,3.3,-13.9,23157
Ironwood Logistics,Technology,390218,-13309,484381,359094,108104,73591,9.2,5.9,32011
Solstice Logistics,Retail,822216,118342,520276,101353,136944,93245,7.7,6.1,6692
Ironwood Trading Co,Hospitality,71747,-3035,76279,52068,24001,26144,9.9,-17.6,3038
Ironwood Works,Technology,1270149,103515,1637514,1047941,888885,336783,5.3,20.5,90735
Cobalt Trading Co,Hospitality,346999,37673,250757,161175,55338,62570,4.9,-33.3,14823
Pemberton Partners,Professional services,217903,-16102,270638,113853,49980,36825,1,15,11766
Ironwood Industries,Technology,1282430,198090,1273281,150051,535404,138047,3.8,-3,10423
Anvil Logistics,Agriculture,164886,-128,241559,97409,33088,82488,2.4,-19.1,5628
Harrow Works,Retail,530505,41108,577022,98410,177201,90107,5.3,50.3,5578
Northgate Industries,Professional services,108378,1585,144449,98150,62512,17532,7.4,32.5,8170
Northgate Industries,Manufacturing,619648,60940,1115989,643907,83067,323597,8,-22.9,43285
Vantage Works,Healthcare,95359,11592,136271,56775,32314,21193,2.5,11,4547
Pemberton Holdings,Manufacturing,76848,-127,153865,52121,96973,47951,1.6,5.9,4764
Pemberton Systems,Logistics,8328,570,11494,4256,4512,1538,1.4,-42.9,279
Ironwood Partners,Logistics,54519,11514,35735,1072,17835,986,23.8,11.3,66
Juniper Partners,Professional services,75868,2665,88242,22173,4412,20399,20.2,-20.5,1763
Solstice Textiles,Healthcare,1322685,110368,755163,60239,274192,42161,5.9,-12.1,5646
Harrow Works,Logistics,1075025,-87521,862389,46456,266901,42740,4.6,-12.4,4614
Blue Heron Textiles,Construction,138577,18206,172037,58196,80679,53541,2.7,26.2,5586
Solstice Engineering,Retail,547200,23147,1106203,333978,286688,307260,15.7,29.8,27899
Ironwood Holdings,Retail,595717,64212,1033962,373033,453002,212136,7.4,29.5,24191
Vantage Foods,Healthcare,91862,1126,102946,32924,47227,30290,10.1,31.9,3744
Meridian Logistics,Professional services,3328428,-356265,2779662,654227,586600,83390,8,10.8,72753
Kestrel Logistics,Retail,54405,7094,109230,60379,11414,23477,1.4,45.1,3698
Kestrel Works,Healthcare,43749,-2435,74056,13123,33433,2222,8,17.9,1321
Kestrel Partners,Healthcare,452096,2989,504858,276551,212502,133701,4.5,26.9,29185
Sable Works,Retail,202126,37431,413203,51506,20660,47386,1.5,23.9,4639
Meridian Works,Professional services,33247,9298,26329,790,12391,727,4.5,11.1,53
Kestrel Logistics,Professional services,320552,-66635,352923,10588,84870,9741,2.6,33.4,707
Harrow Engineering,Logistics,352926,50894,598669,57238,57371,52659,1.7,-28.8,4152
Cobalt Foods,Manufacturing,63631,-12344,45376,15733,16149,11000,2.3,-6.3,1420
Solstice Works,Retail,443624,18522,602947,18088,178098,16641,0.9,4.6,1391
Tamarind Holdings,Construction,500112,89285,472142,319613,102028,198408,13.3,-7.1,26917
Kestrel Trading Co,Manufacturing,120462,1225,82082,26463,33299,9893,4.8,-16.7,2116
Cobalt Systems,Construction,176898,-7884,316090,58832,71533,9483,4.1,-10.3,5616
Blue Heron Trading Co,Construction,27453,4365,45042,1351,5416,1243,4.2,-3.5,82
Blue Heron Works,Agriculture,625294,192873,1208604,36258,285108,33357,6.6,19.8,2787
Cobalt Logistics,Construction,213428,6275,383475,218866,255801,65731,1.8,-31.7,14864
Tamarind Trading Co,Construction,281228,6667,242850,68629,63718,61044,1.3,2.3,4375
Sable Engineering,Construction,123059,3939,224175,78047,102954,66565,1.1,34.8,7710
Sable Textiles,Manufacturing,596823,39413,424156,80447,125143,12725,12.8,-37.9,6707
Juniper Trading Co,Agriculture,260868,24376,493211,45903,139596,42231,2,-24,2634
Tamarind Holdings,Manufacturing,222035,53638,157717,20984,53897,19305,1.9,-12,2048
Northgate Logistics,Construction,288648,-6745,408679,144941,191359,16775,6.1,-32.2,14740
Meridian Systems,Construction,1067932,196050,1799821,1172537,89991,288941,8,0.5,106228
Tamarind Industries,Technology,70456,700,127810,62736,12788,48341,2.2,14,4122
Sable Partners,Construction,679773,-56306,1285863,417519,110412,384118,4.9,12.5,35922
Blue Heron Engineering,Manufacturing,265086,-16343,528140,282075,152306,259509,0.8,-19.2,17949
Northgate Works,Construction,3666469,1041125,3338961,833653,643650,766961,8.4,5.1,84202
Pemberton Textiles,Agriculture,203664,53208,285476,138138,91984,78995,5.3,-36.9,14370
Vantage Works,Healthcare,1453413,215323,2608079,1710049,468883,724905,1.5,33.1,149145
Pemberton Partners,Logistics,35102,-651,25466,12386,8475,6736,3.5,2.3,1045
Kestrel Holdings,Logistics,122158,15430,152844,110984,37744,11002,4,-1.7,11231
Sable Holdings,Logistics,92620,-7731,140643,31539,62727,28926,3.1,-8.7,2127
Ironwood Industries,Technology,71991,-3929,66417,38858,42523,17440,6,-35.2,3932
Cobalt Textiles,Hospitality,80609,1778,98147,52757,18595,22779,1.2,8.7,4134
Vantage Engineering,Professional services,4715581,183055,5663515,1383016,1477599,741741,4.5,13.9,131357
Solstice Foods,Logistics,816176,83980,786087,197594,194674,181787,5.1,5.9,14165
Kestrel Engineering,Agriculture,1068088,42426,2092079,852101,370309,783933,3.9,-17.1,66070
Blue Heron Trading Co,Retail,236314,33034,363374,85386,146330,48921,2.4,21.2,8142
Solstice Trading Co,Agriculture,404819,60855,356097,10683,166082,9828,6.8,-20.9,796
Juniper Logistics,Construction,31090,3748,28577,15075,1797,2138,1.5,16.9,1334
Harrow Works,Healthcare,1878089,263593,2522815,566901,736716,521549,5.5,6.3,49799
Northgate Engineering,Retail,14937,-417,24706,3496,4142,3216,5.1,-3.6,263
Juniper Holdings,Construction,28942,-307,24385,13037,6500,2554,1.7,-12.7,1246
Northgate Logistics,Manufacturing,19763,-2210,14621,3744,1605,3445,0.7,-16,383
Tamarind Logistics,Hospitality,196740,29219,199523,50477,41421,46438,2.7,-1.4,4307
Tamarind Trading Co,Retail,312310,-16491,601358,218515,229586,165859,8.1,16.3,24290
Kestrel Works,Technology,222276,9513,316364,95495,149037,48461,4.5,29.3,7877
Harrow Works,Technology,608200,69096,1128794,165728,469429,152469,4.8,-28.3,18504
Cobalt Foods,Hospitality,38250,3204,72550,51857,16398,11628,3.9,-30.6,4294
Sable Partners,Manufacturing,81280,11869,50005,12009,15750,6590,2.6,55.7,1067
Meridian Partners,Healthcare,115932,12028,121695,46919,27320,24454,3.3,3.4,3330
Tamarind Logistics,Retail,56506,6376,74704,54014,10646,28869,2.3,10.5,5393
Northgate Works,Agriculture,4288730,746480,3750480,112514,1094589,103513,1.5,12.3,7873
Solstice Textiles,Retail,494956,9196,357195,100945,199827,72803,5.5,26.5,9522
Anvil Industries,Professional services,46029,7384,72192,24940,33606,6415,5.6,11.1,1391
Ironwood Systems,Technology,219787,31028,364481,265888,206566,25329,3.4,-7.8,26721
Harrow Engineering,Manufacturing,263480,17053,469120,261794,144748,91989,6.2,-9.6,26402
Vantage Foods,Manufacturing,243639,45180,143938,51480,85074,47362,3.9,-4.2,5204
Cobalt Engineering,Agriculture,1317237,81381,2618718,623636,988915,573745,1.3,24.8,55933
Blue Heron Trading Co,Healthcare,479343,127481,743458,342298,76313,142643,3.1,-6.8,38460
Harrow Holdings,Construction,580596,5246,666695,143947,222667,132431,1.8,5.8,15808
Kestrel Works,Healthcare,55586,2601,90560,52152,20590,12315,2.4,5.1,5196
Tamarind Trading Co,Agriculture,165637,31469,140036,22999,39369,21159,2.7,-11.7,1664
Ironwood Works,Hospitality,108558,20969,186115,42126,57901,38756,1.3,-1.2,3950
Cobalt Works,Healthcare,164964,13692,100979,25743,34594,23683,5,13.9,1492
Northgate Holdings,Construction,374882,62313,452650,205224,105132,86579,2.2,-8.2,14782
Vantage Logistics,Technology,2252402,270317,1646818,786189,893178,393301,2.8,-7.5,86491
Anvil Systems,Hospitality,345779,6884,453632,174971,90512,108606,3.7,-16.8,12854
Sable Logistics,Construction,236798,10394,441437,136800,187916,125856,3,30.4,8282
Ironwood Logistics,Agriculture,2216202,-163303,2817955,114873,1046627,105683,2.2,-20.7,7617
Cobalt Systems,Hospitality,475142,42453,772471,106987,143261,98428,2.4,8.9,11904
Sable Trading Co,Professional services,411619,472,553765,94563,186424,86998,6.8,-3.8,10315
Juniper Industries,Construction,183138,-3759,129387,56199,55473,45348,3.1,-10.8,6436
Harrow Foods,Retail,276999,-28087,389809,188428,53813,118008,3.4,-17.7,19158
Anvil Holdings,Logistics,491042,118704,971551,229461,422921,211104,1,-3.7,25061
Cobalt Trading Co,Agriculture,636889,-11340,462647,174103,156060,141505,2.1,11.6,13981
Harrow Industries,Manufacturing,307044,-22541,175497,23448,21881,21572,3.5,21.6,1368
Blue Heron Works,Manufacturing,162362,36230,143399,71593,54607,32709,3.1,1.3,5008
Pemberton Holdings,Hospitality,383877,22955,760742,356367,267040,203630,4.4,-0.9,27924
Anvil Partners,Logistics,252086,6789,148046,54337,39925,29165,3.7,30.7,3323
Northgate Textiles,Construction,100106,-2983,125394,30812,62711,28347,4.1,12,3046
Northgate Logistics,Manufacturing,84975,9278,155268,7595,67854,4658,5.9,2.8,770
Solstice Trading Co,Hospitality,298627,-34934,435867,60551,116395,55707,1.8,5.9,5721
Pemberton Logistics,Healthcare,3336747,560311,4234521,150553,288724,138509,4.5,35.5,14305
Sable Foods,Construction,225480,38046,169616,85878,76727,31381,0.6,-34.7,6178
Harrow Works,Healthcare,171005,-14366,267813,19638,53006,18067,4.2,16.6,1316
Solstice Foods,Hospitality,136241,19363,213894,6417,31206,5903,9.4,2.9,576
Juniper Partners,Professional services,244348,8036,495197,156975,106010,133606,4.2,22.8,16427
