Txn Ref,Posted On,Cust No,Txn Amount (USD),Entry Mode,Payee Name,MCC Group,Payee Age (d),Txn Country,Billing Country,New Device?,Trans Count 24H,Avg Txn 30D,Days Since Open,Particulars,Confirmed Fraud
TX-100000,2026-08-18 16:45:17,AC-4688,59.68,wallet,Halcyon Trading,travel,167,US,US,N,11,35.68,40,grocery basket,0
TX-100001,2026-09-06 13:52:57,AC-4177,8.79,atm,Kestrel Retail,apparel,2,DE,US,N,10,8.43,15,payroll credit,0
TX-100002,2026-09-16 23:26:03,AC-4439,22.88,card_not_present,Hollow Mart,restaurant,831,US,US,N,1,22.22,7,payroll credit,0
TX-100003,2026-08-23 06:33:03,AC-4745,50.63,card_present,Corvid Retail,money_transfer,50,US,US,Y,1,34.08,42,grocery basket,0
TX-100004,2026-09-08 02:46:36,AC-4284,11.19,card_present,Corvid Labs,utilities,57,GB,GB,N,5,18.67,77,recurring subscription renewal,0
TX-100005,2026-08-24 07:16:10,AC-4592,32.85,atm,Larkspur Group,pharmacy,172,US,US,N,1,5,44,fuel top up,0
TX-100006,2026-09-04 12:11:52,AC-4837,0.96,card_present,Corvid Group,gift_cards,42,BD,BD,N,1,28.58,47,grocery basket,0
TX-100007,2026-09-06 08:22:55,AC-4539,18.36,atm,Nexa Digital,fuel,55,US,US,N,1,13.79,18,regular vendor payment,0
TX-100008,2026-09-06 12:27:37,AC-4450,12.03,card_present,Larkspur Group,crypto_exchange,4,US,US,N,12,10.07,7,payroll credit,0
TX-100009,2026-08-22 00:45:39,AC-4208,2.08,card_not_present,Mistral Digital,pharmacy,763,BD,BD,N,7,80.29,27,account credential update then purchase,1
TX-100010,2026-08-20 16:26:44,AC-4432,18.97,card_present,Nexa Digital,grocery,263,BD,BD,N,3,33.78,26,monthly utility bill,0
TX-100011,2026-08-17 08:19:19,AC-4658,29.76,card_present,Pallas Digital,fuel,9,BD,BD,Y,11,29.67,25,regular vendor payment,0
TX-100012,2026-09-12 21:09:18,AC-4824,26.8,wire_transfer,Aster Supply,fuel,1070,MY,BD,N,10,25.03,100,grocery basket,0
TX-100013,2026-08-24 23:41:10,AC-4828,22.19,atm,Aster Digital,restaurant,1533,BD,BD,N,5,16.67,1184,monthly utility bill,0
TX-100014,2026-09-12 02:59:49,AC-4481,11.17,atm,Hollow Exchange,money_transfer,146,IN,BD,Y,1,13.73,124,regular vendor payment,0
TX-100015,2026-08-23 17:16:11,AC-4505,22.79,card_not_present,Mistral Trading,pharmacy,3,US,US,N,6,26,64,fuel top up,0
TX-100016,2026-09-05 13:23:07,AC-4756,62.04,atm,Hollow Retail,restaurant,5,US,US,N,6,52.64,89,grocery basket,0
TX-100017,2026-08-26 23:50:19,AC-4809,18.06,atm,Nexa Supply,pharmacy,3,GB,GB,Y,1,10.95,161,recurring subscription renewal,0
TX-100018,2026-09-11 23:07:53,AC-4396,82.22,card_not_present,Aster Labs,money_transfer,7,US,US,N,13,7.18,8,in store purchase,0
TX-100019,2026-08-20 21:48:14,AC-4009,27.4,card_not_present,Halcyon Digital,gift_cards,366,BD,BD,N,2,38.13,894,payroll credit,0
TX-100020,2026-08-25 18:08:00,AC-4541,0.95,card_present,Pallas Labs,money_transfer,32,GB,GB,N,13,13.92,632,fuel top up,0
TX-100021,2026-08-20 20:07:10,AC-4170,12.31,wallet,Hollow Group,gift_cards,2,US,US,N,4,8.35,10,recurring subscription renewal,0
TX-100022,2026-08-19 10:55:03,AC-4148,21.33,wire_transfer,Corvid Retail,restaurant,95,US,US,N,2,15.08,14,in store purchase,0
TX-100023,2026-09-02 23:00:16,AC-4630,84.96,wallet,Quarry Supply,grocery,5,GB,GB,N,2,76.62,23,grocery basket,0
